"X" "week" "date" "X23708" "X80913" "X78236" "X92134" "X23665" "X92055" "X99506" "X29207" "X78234" "X32542" "X42223" "X23511" "X76544" "X79920" "X22134" "X89191" "X28547" "X94535" "X98431" "X28310" "X32214" "X85309" "X30905" "X20762" "X22060" "X40121" "X39534" "X23801" "X29905" "X23604" "X32228" "X20889" "X92278" "X60088" "X9180" "X83648" "X66442" "X36112" "X87117" "X96859" "X65473" "X29152" "X31314" "X96319" "X96350" "X78843" "X84056" "X31905" "X57706" "X71459"
"11" 11 23 "6/8/09" 0.015363465 0.006370223 0.014124019 0.009239613 0.015075883 0.007941721 0.003204148 0.015370293 0.014158479 0.017311249 0.015441389 0.015185044 0.013750836 0.004394936 0.0149729 0.004795387 0.016380476 0.007640176 0.009726419 0.015941232 0.017101704 0.004786467 0.015225813 0.0146756 0.014923212 0.015414424 0.017478474 0.015496977 0.017041184 0.015247774 0.017101704 0.014299005 0.005235805 0.010026369 0.004767938 0.007482667 0.012207165 0.016854273 0.003765504 0.011242978 0.014974757 0.015416916 0.016404156 0.006970285 0.005472166 0.013062494 0.008158768 0.016228689 0.007855533 0.015739308
"12" 12 24 "6/15/09" 0.015058985 0.006848561 0.014858023 0.009917122 0.014876156 0.008307534 0.003522226 0.014793399 0.014856667 0.019140977 0.017890167 0.015031991 0.013581991 0.005737043 0.01355232 0.004976389 0.016200116 0.007637788 0.00921633 0.015112213 0.018104654 0.005715848 0.015071085 0.013438863 0.013531589 0.017118583 0.01897647 0.014406463 0.017420139 0.014652248 0.018104654 0.012916531 0.005012918 0.01297892 0.003929875 0.008190845 0.016225472 0.017469687 0.004775433 0.011307637 0.017449554 0.014509314 0.015962381 0.007583438 0.005719183 0.013954796 0.007819849 0.01689514 0.010110981 0.015689906
"13" 13 25 "6/22/09" 0.014289635 0.008875932 0.013371934 0.009531928 0.014364961 0.007575269 0.00325087 0.01263215 0.013378861 0.019819698 0.018213892 0.01445061 0.012015576 0.008430537 0.013024207 0.004199626 0.015494852 0.006671504 0.008216003 0.012411349 0.017824858 0.005558621 0.014065376 0.013456371 0.013169825 0.017171009 0.020650016 0.013320577 0.017255016 0.013940558 0.017824858 0.012761397 0.003752398 0.015633394 0.004401396 0.00548657 0.016100341 0.017536189 0.007687696 0.012840953 0.019293704 0.012288201 0.015333183 0.007522455 0.006839406 0.012458134 0.007475195 0.016672162 0.009306225 0.016078166
"14" 14 26 "6/29/09" 0.012775424 0.008587227 0.013300497 0.010375817 0.012923775 0.008414143 0.003682242 0.009542645 0.013333017 0.019262352 0.012854211 0.013022238 0.012019705 0.010232126 0.011565528 0.007028937 0.014545775 0.006364111 0.008933298 0.009359981 0.017433822 0.009836303 0.010396198 0.012200358 0.011732445 0.012311529 0.019751111 0.011562204 0.015971721 0.012419777 0.017433822 0.011288726 0.006521043 0.01095915 0.004471207 0.006205472 0.011697189 0.013383714 0.008068279 0.010948214 0.013403135 0.009345251 0.013407643 0.007215753 0.006637294 0.012520935 0.008235621 0.012802601 0.009794121 0.014827458
"15" 15 27 "7/6/09" 0.013143653 0.007576573 0.01410957 0.010022874 0.013382264 0.007576017 0.003410809 0.013281946 0.01418485 0.018460381 0.014124409 0.013365648 0.012392288 0.007615309 0.011764465 0.00374211 0.014565398 0.005468099 0.009364194 0.011735832 0.01669851 0.006453364 0.014462167 0.011996696 0.011856006 0.013542096 0.01857252 0.012193033 0.016242423 0.012974382 0.01669851 0.011302641 0.003771762 0.011238539 0.003652196 0.005034103 0.014496231 0.01617537 0.005250355 0.012523978 0.015347442 0.01292049 0.015171917 0.007029739 0.005433882 0.012400591 0.005915713 0.016302896 0.010193305 0.015949459
"16" 16 28 "7/13/09" 0.014137657 0.007798135 0.0127738 0.010866287 0.014158797 0.008653109 0.002543658 0.012266865 0.012830577 0.018362802 0.013820325 0.014343012 0.011506573 0.00661183 0.011647463 0.004905009 0.016151923 0.004395045 0.01058043 0.012045172 0.01755722 0.00807508 0.013340716 0.012056612 0.011809197 0.013039086 0.018328323 0.01233705 0.016868169 0.01359272 0.01755722 0.01109874 0.00601465 0.010276734 0.004561991 0.004392279 0.012791488 0.015798445 0.004267172 0.010717078 0.014251451 0.012186424 0.01554815 0.007166015 0.006091616 0.01164053 0.00561012 0.01570982 0.008610314 0.014780806
"17" 17 29 "7/20/09" 0.015591982 0.00794839 0.011722681 0.011695364 0.015966972 0.009662775 0.002523382 0.011963629 0.01189715 0.01558416 0.013593145 0.015913222 0.010791992 0.008448837 0.013679336 0.008980655 0.016802521 0.006217396 0.011188814 0.012803786 0.016589272 0.00996147 0.011900416 0.014113442 0.013913302 0.013787787 0.016512166 0.01401523 0.016122864 0.015430849 0.016589272 0.013382969 0.008209032 0.011855307 0.00450694 0.004926479 0.011107301 0.012602233 0.007175981 0.010362672 0.013564572 0.012262349 0.014405191 0.00690824 0.004901646 0.009641066 0.006091872 0.012317852 0.007258483 0.014178272
"18" 18 30 "7/27/09" 0.016967826 0.008394473 0.014377978 0.011576092 0.017082884 0.009711878 0.002415857 0.014196789 0.014473145 0.019002044 0.015032846 0.017118417 0.013565628 0.008081025 0.014992434 0.006384744 0.017859491 0.008299898 0.013659652 0.015055789 0.017758176 0.007545517 0.01415413 0.015565275 0.015283285 0.014707657 0.019506889 0.015624081 0.017504424 0.01675419 0.017758176 0.014877636 0.006572718 0.011158212 0.004485449 0.006178583 0.010759217 0.016950586 0.006687906 0.010764119 0.013543601 0.014581849 0.01601595 0.007417271 0.006760456 0.012967035 0.007049159 0.016481628 0.006397904 0.016217632
"19" 19 31 "8/3/09" 0.015870968 0.005305147 0.013112666 0.010802646 0.015916448 0.008086088 0.002971243 0.013070547 0.013199819 0.018446636 0.015878333 0.016036775 0.011554618 0.007700816 0.013359587 0.004604029 0.016676694 0.007508154 0.009427773 0.013542957 0.017406609 0.005816759 0.013081892 0.013852712 0.013503537 0.015163034 0.01845358 0.014110663 0.017257254 0.015423688 0.017406609 0.012584382 0.004499354 0.012749454 0.004361752 0.006136132 0.012510799 0.015460211 0.005185172 0.011532488 0.016071505 0.013446057 0.015644024 0.0071474 0.004947409 0.011417317 0.00644551 0.015178259 0.010055359 0.01472706
"20" 20 32 "8/10/09" 0.016158169 0.00561843 0.014211726 0.010711879 0.016437153 0.008520556 0.003292235 0.014194401 0.014288885 0.017676927 0.016438267 0.016394373 0.013252115 0.007895412 0.014869123 0.004495672 0.016812996 0.007384883 0.009393681 0.014106515 0.01764478 0.007730958 0.014358601 0.014988826 0.014980846 0.015973238 0.018238079 0.014954648 0.017036074 0.016051671 0.01764478 0.014443184 0.005052184 0.01360174 0.004451034 0.005389768 0.012246345 0.016131835 0.005071085 0.009751423 0.014417354 0.014349905 0.015883866 0.007715907 0.005780678 0.012904264 0.006019913 0.015786928 0.007232552 0.015668251
"21" 21 33 "8/17/09" 0.017364194 0.006204861 0.014558965 0.010630094 0.017649435 0.008779379 0.00347657 0.014633608 0.014675891 0.016683592 0.014718412 0.017607285 0.013776084 0.006754381 0.015609006 0.00536853 0.01767663 0.0074216 0.01011509 0.015314954 0.017494251 0.007597124 0.01421895 0.015993554 0.015748899 0.014934529 0.016400445 0.016041615 0.017552387 0.017216726 0.017494251 0.015234913 0.006792394 0.012022803 0.00349767 0.00491625 0.011483436 0.014601412 0.004589988 0.009903084 0.013335068 0.014939587 0.015973364 0.007512158 0.006018565 0.012747379 0.005598904 0.014993565 0.00673734 0.014731575
"22" 22 34 "8/24/09" 0.016952958 0.007482219 0.011571692 0.009769828 0.016911417 0.006566152 0.003127544 0.013873775 0.011718999 0.014949706 0.013354404 0.017072813 0.010971095 0.007810049 0.014528752 0.005569275 0.017139423 0.005801826 0.008732891 0.014613641 0.016525513 0.006680877 0.013112085 0.014805277 0.014549021 0.013195439 0.014980017 0.015205521 0.016389665 0.016484037 0.016525513 0.013641458 0.005230077 0.010721808 0.00400695 0.005470986 0.011759481 0.012909266 0.006264725 0.012353709 0.011889706 0.014126883 0.014667187 0.006624967 0.006348436 0.009914968 0.006940967 0.013078559 0.008080147 0.013242117
"23" 23 35 "8/31/09" 0.013935146 0.00665987 0.012393326 0.011966028 0.013524397 0.009661455 0.002386081 0.010482437 0.012443529 0.016392488 0.011628759 0.013994046 0.01114859 0.007366731 0.009695811 0.006327317 0.014194918 0.007041164 0.009254879 0.010642597 0.016277576 0.009608534 0.011095201 0.010045954 0.009727677 0.011038564 0.016018581 0.010729061 0.014879665 0.012699787 0.016277576 0.009066107 0.007217766 0.007583088 0.003638661 0.005208827 0.009919497 0.013593309 0.006163539 0.011643648 0.010966074 0.010645708 0.013819155 0.006650722 0.005512357 0.011313971 0.005710912 0.013134015 0.008599131 0.011037907
"24" 24 36 "9/7/09" 0.013965036 0.007639611 0.013588703 0.011282498 0.013708145 0.008628526 0.003669438 0.010741715 0.013647373 0.016314525 0.013433248 0.013968347 0.013173585 0.007902266 0.011684155 0.005865235 0.013149841 0.006427533 0.008438841 0.011008968 0.015552733 0.008295612 0.011140661 0.011832964 0.011722138 0.01248696 0.016477902 0.012232245 0.014514069 0.013310951 0.015552733 0.011224567 0.004992241 0.009880905 0.003742091 0.00425996 0.013002547 0.012981612 0.007195926 0.012278639 0.013664771 0.010860993 0.013378332 0.006961473 0.005305823 0.012867087 0.00537604 0.012413957 0.007403641 0.014459956
"25" 25 37 "9/14/09" 0.013401503 0.008045745 0.011580425 0.010944996 0.013303271 0.008572502 0.002827184 0.012032423 0.011685314 0.017179651 0.014201031 0.013483386 0.012227561 0.007952718 0.010796499 0.005787635 0.014088431 0.008408944 0.008619465 0.011895744 0.016268508 0.006655685 0.012795208 0.010693603 0.010714327 0.012299785 0.01801677 0.011851562 0.015574116 0.012850014 0.016268508 0.010061518 0.005369084 0.008370023 0.003403231 0.006336657 0.00951962 0.014966311 0.007149035 0.011442813 0.012102284 0.012103827 0.014660437 0.007118138 0.005524902 0.010822117 0.007318101 0.01468993 0.007143945 0.014229778
"26" 26 38 "9/21/09" 0.014964175 0.004781599 0.01193809 0.0101472 0.01469729 0.005998136 0.003019873 0.013671468 0.011949424 0.017498622 0.014770535 0.014945472 0.010228595 0.005996189 0.012396759 0.003066762 0.015653639 0.006062965 0.006981223 0.01380679 0.016933532 0.003410159 0.013866371 0.012081144 0.012281618 0.014495778 0.017312339 0.013601489 0.016627728 0.014348066 0.016933532 0.01166004 0.002891584 0.01115349 0.004248766 0.003573154 0.007946411 0.014818371 0.003819895 0.011604401 0.011750041 0.01381816 0.015633941 0.006811969 0.006739985 0.011143276 0.004275577 0.014537329 0.004940219 0.013957663
"27" 27 39 "9/28/09" 0.010202486 0.003574446 0.014502967 0.010108668 0.010050365 0.006759306 0.002993738 0.006757417 0.014354533 0.012367133 0.007482902 0.010307043 0.010198694 0.005718258 0.007584016 0.002764734 0.009836744 0.004186369 0.005863799 0.007403303 0.011145733 0.004326003 0.006786288 0.007951664 0.007684347 0.007470382 0.013239044 0.007997552 0.010633069 0.009509124 0.011145733 0.007285408 0.003050541 0.006335026 0.004395977 0.003228906 0.004861456 0.007622485 0.003639704 0.011745297 0.006607732 0.006945235 0.008891384 0.006947551 0.00522552 0.014092796 0.003667796 0.007690787 0.003629711 0.010959638
"28" 28 40 "10/5/09" 0.010665561 0.004289297 0.015801041 0.00868987 0.010411258 0.006533418 0.002920608 0.012046495 0.015891475 0.01843512 0.009664026 0.010700262 0.013976944 0.00633742 0.007670435 0.002366811 0.012484427 0.004498968 0.005016409 0.010826786 0.017329671 0.0041041 0.012114206 0.007678156 0.007636645 0.008727452 0.017939528 0.00876455 0.015386839 0.009888575 0.017329671 0.007140607 0.002675917 0.005394122 0.004161154 0.004281146 0.005040193 0.014324672 0.004520602 0.011709736 0.007098272 0.012239873 0.015231533 0.006450928 0.004561701 0.01354624 0.004039144 0.014248364 0.003344472 0.015166845
"29" 29 41 "10/12/09" 0.00920452 0.004437467 0.012659214 0.01022408 0.008958045 0.008111017 0.003016043 0.009532841 0.012624466 0.013895316 0.007280478 0.009283516 0.01149486 0.007059172 0.006107246 0.005887749 0.009720625 0.009948753 0.006928567 0.008184524 0.013771145 0.006040569 0.009809735 0.006076233 0.006050167 0.006218517 0.013931369 0.006994407 0.01231699 0.008366474 0.013771145 0.005501578 0.005831526 0.004430921 0.004700531 0.005261507 0.005192519 0.010884292 0.005065736 0.011930741 0.006455745 0.009453145 0.012243105 0.00709111 0.005946196 0.010952772 0.005545228 0.010859023 0.003992761 0.012081124
"30" 30 42 "10/19/09" 0.008787485 0.003991786 0.010162581 0.009002007 0.008710082 0.005857531 0.002884742 0.008380969 0.01014958 0.010211337 0.007094535 0.008873131 0.009734497 0.005096609 0.007064168 0.003921742 0.009680483 0.008325363 0.006293519 0.0079674 0.011649894 0.004085828 0.0082669 0.007490007 0.007168815 0.006926582 0.010189771 0.007303276 0.010767394 0.008329745 0.011649894 0.006817186 0.003507496 0.00704375 0.004160923 0.005372737 0.007283635 0.007500285 0.005067449 0.010715866 0.007619837 0.008621126 0.010025729 0.006599871 0.005206023 0.008760728 0.005325395 0.008099869 0.004779766 0.008670071
"31" 31 43 "10/26/09" 0.010764564 0.003230316 0.008646193 0.006435338 0.01033256 0.003093304 0.003310876 0.010212079 0.008757433 0.012926299 0.008024716 0.010643817 0.00840889 0.00293943 0.008725487 0.002422367 0.012489546 0.005325012 0.006101662 0.010357017 0.015409464 0.001659437 0.010553593 0.008759075 0.008708956 0.007749147 0.012374892 0.009336605 0.013668708 0.010093877 0.015409464 0.008238755 0.00196254 0.006917527 0.004286224 0.003884432 0.005923486 0.01039034 0.003092433 0.011283179 0.007379116 0.010496136 0.01320969 0.007772267 0.00720425 0.006551072 0.003654955 0.011059452 0.0036371 0.009852351
"32" 32 44 "11/2/09" 0.006503895 0.003268228 0.008475019 0.008289668 0.006524034 0.005427535 0.00275041 0.006050707 0.008459158 0.008346297 0.005387339 0.006618623 0.008263411 0.003416236 0.004820504 0.002943271 0.007080826 0.007531304 0.00511172 0.005428906 0.009453353 0.003310116 0.006236061 0.005105489 0.004848571 0.00512329 0.008737971 0.005204549 0.008143091 0.006128923 0.009453353 0.004533674 0.003462954 0.004769147 0.003944804 0.003996029 0.005928177 0.00598901 0.003375236 0.011906853 0.006483967 0.006081452 0.007137382 0.007560156 0.005921531 0.007709278 0.004093499 0.006426886 0.003429042 0.007824732
"33" 33 45 "11/9/09" 0.009518005 0.003991383 0.010311518 0.008350745 0.009268885 0.005999795 0.003014122 0.008981481 0.010364935 0.010272898 0.006675874 0.00950368 0.010327661 0.004831669 0.007675765 0.003674 0.010745386 0.004974549 0.005024443 0.008835142 0.01098068 0.004907684 0.008763888 0.007773093 0.007684078 0.006267815 0.00974705 0.008204629 0.010824818 0.008985938 0.01098068 0.007303091 0.004152659 0.005403886 0.004008996 0.00332936 0.00715345 0.008244193 0.004104579 0.011606903 0.007260312 0.009116318 0.009941801 0.008768913 0.006793266 0.00902245 0.003437417 0.008409001 0.003431042 0.008933268
"34" 34 46 "11/16/09" 0.008726023 0.002226715 0.007445319 0.007003653 0.008499792 0.003988597 0.003215503 0.008749672 0.007544045 0.008741588 0.006344543 0.008677988 0.007304375 0.002266031 0.006854885 0.001616821 0.010023511 0.004622669 0.005636509 0.008200781 0.010890217 0.00153547 0.008546073 0.006768859 0.006760175 0.006469076 0.008411252 0.007821456 0.010955777 0.008315311 0.010890217 0.006299308 0.00155954 0.005413785 0.004867552 0.002803842 0.00463798 0.006512789 0.002154249 0.014173566 0.006287952 0.008768817 0.010021689 0.008672876 0.007328425 0.005067297 0.002966607 0.00712496 0.002421771 0.007143992
"35" 35 47 "11/23/09" 0.00703872 0.002048491 0.007165224 0.005763079 0.007027338 0.003295268 0.003289321 0.005780076 0.007177071 0.007727097 0.005535993 0.007117253 0.006404496 0.003012882 0.005886035 0.002212108 0.007488743 0.004748075 0.006044337 0.006043074 0.008269328 0.002302181 0.005720294 0.006089556 0.005910129 0.005387636 0.007715808 0.006029157 0.007843731 0.006764343 0.008269328 0.005654045 0.002264451 0.004865256 0.004527591 0.003372628 0.004333228 0.005968888 0.001832323 0.014022134 0.005429447 0.005923867 0.007067741 0.009290179 0.008801066 0.005585948 0.003262258 0.005844815 0.002711859 0.006621511
"36" 36 48 "11/30/09" 0.006795275 0.00202963 0.005174861 0.006821009 0.006595096 0.004447846 0.003738983 0.006633924 0.005160251 0.00817593 0.003878121 0.006767047 0.004338931 0.004037382 0.005398709 0.001971314 0.008382208 0.004121971 0.003672762 0.006606323 0.009308987 0.002999531 0.006517443 0.005432808 0.00535766 0.003741905 0.007719127 0.006072813 0.008974811 0.006414416 0.009308987 0.004970365 0.002098755 0.003175226 0.004385649 0.00261114 0.002463126 0.006006159 0.002689011 0.015722494 0.002880463 0.006779801 0.008183422 0.008211697 0.006525151 0.00466175 0.002335608 0.006439215 0.002033405 0.005537594
"37" 37 49 "12/7/09" 0.005281172 0.001800208 0.007066348 0.007450975 0.005073468 0.006199235 0.003572863 0.004996071 0.007001239 0.008219502 0.003384394 0.005269767 0.005856498 0.004010857 0.003435908 0.003624408 0.007278293 0.004431553 0.001873797 0.005112044 0.010920028 0.004099644 0.005117998 0.003604364 0.003437769 0.003036947 0.008976681 0.004062404 0.009229599 0.00480048 0.010920028 0.003082603 0.0039103 0.002652985 0.005134416 0.002039199 0.002166361 0.005628699 0.002919606 0.014400718 0.003103536 0.005292529 0.00837003 0.007815671 0.006794595 0.006711038 0.002428254 0.005786753 0.001242184 0.006757137
"38" 38 50 "12/14/09" 0.005068522 0.002130108 0.006830244 0.006352736 0.004892178 0.003860491 0.003720571 0.005612342 0.006739604 0.008976219 0.004113463 0.005088529 0.005313028 0.003988175 0.003457874 0.003402756 0.006652806 0.006744229 0.005079233 0.00514933 0.010755607 0.003853709 0.005919934 0.00350149 0.003422921 0.003773366 0.008700066 0.004070036 0.008730729 0.004584446 0.010755607 0.003183164 0.003503276 0.002827124 0.004574258 0.004221809 0.002405546 0.006569518 0.00285788 0.013641013 0.003055059 0.005690479 0.008392545 0.007966309 0.006532688 0.005874491 0.003643039 0.006723964 0.002408037 0.006251256
"39" 39 51 "12/21/09" 0.004725114 0.002272583 0.006244641 0.00632782 0.004699826 0.004188275 0.003916092 0.004917844 0.006357779 0.007284329 0.004490794 0.004812633 0.00571318 0.003136346 0.003102466 0.002866766 0.005879417 0.004729306 0.003438815 0.004690413 0.007470671 0.002959844 0.00490664 0.003287936 0.003108677 0.004165527 0.007764521 0.0035193 0.007195666 0.004369762 0.007470671 0.002980779 0.002749816 0.003175388 0.004718384 0.003143303 0.002685284 0.005240869 0.002396886 0.015390584 0.004482282 0.005064506 0.006410929 0.008766438 0.006425521 0.005001531 0.002974482 0.005362456 0.002145543 0.006092091
"40" 40 52 "12/28/09" 0.003421255 0.002423173 0.0048685 0.006256883 0.003356375 0.004172644 0.003621199 0.003353764 0.004826499 0.005849102 0.002612977 0.003489597 0.004171933 0.003036998 0.00250014 0.002729145 0.004539145 0.006314988 0.004341791 0.003076586 0.00635137 0.002626294 0.00347063 0.002540392 0.002466006 0.002518672 0.005812557 0.002718619 0.005802377 0.003067754 0.00635137 0.002308989 0.002957736 0.001964696 0.004970991 0.003444608 0.002126097 0.00401918 0.00276688 0.015284031 0.002454837 0.003454917 0.005037835 0.008822004 0.007623806 0.004561114 0.00326749 0.003980123 0.002118399 0.004550425
"41" 41 1 "1/4/10" 0.002580083 0.001988274 0.003542998 0.00655428 0.002639876 0.003331711 0.00417101 0.002084748 0.003492945 0.003074832 0.001711372 0.0026637 0.00284706 0.00293837 0.002273529 0.003041909 0.002642468 0.00593111 0.004990455 0.001997002 0.002784964 0.002577563 0.002042465 0.002428002 0.002342619 0.00195429 0.003444935 0.002179356 0.003105107 0.002456584 0.002784964 0.002317091 0.003069225 0.001780958 0.00528991 0.003547005 0.001425895 0.001898437 0.002450872 0.01590684 0.001477625 0.002123953 0.00233138 0.008927936 0.005590567 0.003346479 0.003140086 0.001893003 0.001574674 0.002748937
"42" 42 2 "1/11/10" 0.003755987 0.001896481 0.006751777 0.006657072 0.00373806 0.00433869 0.004429065 0.003884187 0.006673724 0.006176158 0.003392577 0.003794877 0.005712963 0.002878312 0.003181091 0.003375123 0.004569792 0.00677264 0.005270296 0.003418945 0.006700468 0.002642341 0.004192948 0.003272928 0.003195683 0.003402472 0.006236521 0.00324473 0.006142571 0.003586461 0.006700468 0.003088922 0.002967217 0.002565436 0.005193118 0.003887807 0.002838047 0.00423747 0.002999722 0.013961508 0.003704011 0.003943699 0.005641967 0.008445973 0.007514486 0.006676057 0.003315706 0.004497854 0.002772857 0.005066704
