"week" "date" "X23708" "X80913" "X78236" "X92134" "X23665" "X92055" "X99506" "X29207" "X78234" "X32542" "X42223" "X23511" "X76544" "X79920" "X22134" "X89191" "X28547" "X94535" "X98431" "X28310" "X32214" "X85309" "X30905" "X20762" "X22060" "X40121" "X39534" "X23801" "X29905" "X23604" "X32228" "X20889" "X92278" "X60088" "X9180" "X83648" "X66442" "X36112" "X87117" "X96859" "X65473" "X29152" "X31314" "X96319" "X96350" "X78843" "X84056" "X31905" "X57706" "X71459"
"25" 37 "9/14/09" 3 14 32 14 7 6 31 6 8 44 9 1 11 4 4 2 7 8 5 4 7 0 7 6 4 7 8 18 6 1 9 6 1 4 1 0 4 2 2 1 8 6 14 0 16 1 1 12 0 3
"26" 38 "9/21/09" 7 20 55 12 3 9 36 17 8 52 25 3 26 2 4 2 9 4 3 9 13 1 25 1 2 9 2 16 13 0 9 4 1 5 4 15 4 3 6 0 18 12 19 0 7 3 0 10 0 5
"27" 39 "9/28/09" 9 40 83 8 9 16 46 16 29 28 30 8 42 4 1 4 8 9 7 13 10 3 21 5 2 1 4 13 18 3 8 7 6 6 8 8 9 5 7 1 14 12 17 0 2 11 0 7 5 5
"28" 40 "10/5/09" 34 52 43 16 19 13 38 10 15 25 32 16 25 2 1 22 10 9 5 17 16 13 7 9 5 13 14 9 6 1 4 6 2 2 9 35 12 4 11 2 8 16 3 1 1 2 1 19 35 1
"29" 41 "10/12/09" 76 99 61 24 59 24 40 16 11 15 43 11 24 19 1 27 4 9 18 11 13 48 7 8 9 6 8 16 5 16 19 7 7 4 18 16 32 7 37 7 10 18 9 0 6 10 14 3 35 3
"30" 42 "10/19/09" 149 133 40 37 82 22 23 6 14 16 33 65 19 40 3 42 9 12 20 26 14 60 8 20 35 14 13 20 6 22 4 25 12 6 47 10 26 7 22 2 6 21 11 1 4 9 37 4 31 5
"31" 43 "10/26/09" 125 92 31 32 71 41 24 5 12 15 32 83 21 38 7 52 21 20 32 19 23 32 7 29 49 18 21 22 12 26 11 25 19 26 17 14 16 9 14 6 9 16 4 2 2 5 31 1 3 3
"32" 44 "11/2/09" 71 36 19 48 44 51 27 6 9 20 27 51 10 58 17 47 19 4 34 18 12 20 9 37 31 28 28 12 26 44 7 18 17 21 15 4 12 7 7 12 7 12 7 6 18 4 9 1 1 1
"33" 45 "11/9/09" 74 18 12 34 36 43 14 1 6 17 19 28 12 30 8 14 10 8 14 7 12 5 7 24 13 13 10 6 8 10 7 15 10 19 3 7 1 4 1 8 4 3 3 1 9 0 10 1 2 1
"34" 46 "11/16/09" 31 20 14 17 12 34 14 4 7 8 26 24 4 18 8 19 4 9 14 9 6 9 6 11 5 21 3 9 9 8 5 9 10 17 1 4 1 11 2 9 5 15 0 4 4 8 9 2 1 2
"35" 47 "11/23/09" 19 8 11 20 15 15 11 3 2 4 13 6 9 15 0 8 7 7 1 4 5 4 3 10 6 4 2 8 1 6 5 12 12 8 2 2 0 1 3 4 9 1 4 20 5 3 2 1 1 0
"36" 48 "11/30/09" 12 7 10 11 20 14 10 2 0 6 14 8 5 8 2 12 5 6 10 10 10 4 3 14 7 20 12 5 6 2 12 6 12 12 3 3 0 4 4 2 3 4 2 41 7 6 0 1 0 1
"37" 49 "12/7/09" 11 10 24 8 12 18 9 1 5 9 10 13 3 2 3 6 6 1 4 5 10 5 2 5 1 3 6 1 10 15 16 0 4 3 0 2 1 3 1 2 5 1 1 38 1 4 3 2 0 3
"38" 50 "12/14/09" 6 3 7 6 3 9 6 0 5 4 7 2 3 2 0 5 7 4 6 1 2 1 0 6 1 2 3 2 4 9 3 2 2 1 1 5 0 2 2 3 0 2 1 19 4 0 2 1 2 0
"39" 51 "12/21/09" 14 0 4 6 6 4 3 2 2 2 3 0 1 2 2 2 5 6 0 4 0 1 0 3 0 2 0 1 0 0 1 0 1 1 3 1 3 1 1 1 1 1 3 6 2 0 0 2 1 2
"40" 52 "12/28/09" 1 4 1 7 9 10 3 0 1 6 5 0 1 3 1 1 6 7 2 6 0 3 1 4 2 0 1 1 0 2 1 5 1 1 0 1 1 0 0 0 0 1 2 4 2 0 1 0 0 0
"41" 1 "1/4/10" 13 7 2 4 10 10 4 1 2 7 6 3 1 3 0 4 5 4 3 7 4 1 0 1 0 2 8 1 1 6 3 1 1 2 0 2 4 1 5 4 0 1 0 0 2 8 2 0 0 1
"42" 2 "1/11/10" 8 4 1 2 5 3 0 0 2 1 3 2 4 4 0 0 6 3 2 4 6 3 2 3 1 0 0 0 2 1 2 0 1 0 0 2 1 4 7 0 1 0 1 2 0 3 1 0 0 1
"43" 3 "1/18/10" 7 6 1 2 6 3 1 0 1 2 2 1 2 3 0 1 6 2 4 5 0 1 0 3 1 1 4 1 0 1 3 1 0 0 0 3 2 9 3 0 1 3 1 1 2 3 0 0 0 0
"44" 4 "1/25/10" 3 3 1 0 3 3 4 0 1 2 0 0 2 3 0 1 1 4 3 7 2 0 1 3 0 2 0 1 0 0 2 0 1 0 0 2 2 4 0 0 1 1 1 1 0 1 0 1 0 0
"45" 5 "2/1/10" 6 8 0 2 2 1 5 0 4 3 3 1 0 1 0 2 2 5 3 3 2 3 0 1 1 0 1 0 0 2 0 1 5 0 0 2 0 4 4 0 1 0 0 0 0 0 0 0 2 0
"46" 6 "2/8/10" 5 10 0 2 1 6 0 1 4 2 0 4 4 2 0 1 2 1 6 2 4 1 0 0 0 1 2 0 0 0 4 1 2 0 0 4 0 3 0 1 2 0 0 0 0 0 1 0 1 1
"47" 7 "2/15/10" 6 8 2 1 6 4 3 1 1 3 0 5 7 5 1 1 6 7 1 4 2 2 0 0 1 0 4 0 0 0 3 0 0 0 0 0 1 6 1 1 4 1 0 0 2 2 0 2 1 0
"48" 8 "2/22/10" 6 4 0 4 0 1 6 0 2 0 0 4 0 0 0 2 2 2 1 2 2 0 1 1 1 2 1 0 0 0 0 1 0 1 0 3 1 9 3 0 2 0 1 0 1 0 1 0 0 1
"49" 9 "3/1/10" 4 3 1 1 2 0 0 3 0 2 0 1 2 1 0 1 1 5 1 3 3 2 1 2 0 3 3 0 0 0 0 1 2 0 0 2 0 5 2 0 3 0 0 0 2 0 0 2 0 0
"50" 10 "3/8/10" 3 1 2 0 3 0 0 2 2 1 0 2 0 0 0 1 4 2 0 2 2 2 0 1 3 2 0 0 0 0 1 1 0 0 0 4 1 5 0 0 1 0 2 0 1 3 0 3 0 2
"51" 11 "3/15/10" 4 2 0 0 3 1 1 0 3 3 1 0 4 1 0 2 4 0 0 0 0 0 0 0 2 2 3 0 0 1 0 1 0 0 0 4 0 3 2 0 0 0 0 0 0 0 0 3 0 0
"52" 12 "3/22/10" 2 3 0 5 1 2 2 2 1 2 0 0 1 1 0 0 1 4 0 0 1 1 1 2 0 0 0 2 0 3 0 0 0 0 1 1 0 4 2 0 0 0 2 0 1 0 0 1 0 0
"53" 13 "3/29/10" 4 1 2 0 1 2 0 0 1 2 1 0 0 2 0 0 1 4 0 0 0 1 1 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0
"54" 14 "4/5/10" 0 2 1 2 0 1 2 0 0 3 2 0 2 3 0 0 4 3 0 1 0 2 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 5 1 1 0 1 0 0 0 0 0 1 0 0
"55" 15 "4/12/10" 1 1 0 0 1 1 1 0 1 4 1 1 0 1 1 0 1 2 1 1 1 0 0 1 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 0
"56" 16 "4/19/10" 2 2 0 2 3 2 4 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 4 1 1 1 0 1 0 0 0 0 0 0 0
"57" 17 "4/26/10" 2 0 0 0 1 2 0 0 1 0 0 0 0 2 0 0 0 3 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 3 0 1
"58" 18 "5/3/10" 2 1 0 1 0 0 0 0 3 1 0 0 0 0 0 1 0 0 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"59" 19 "5/10/10" 2 1 1 1 1 0 0 0 3 0 0 1 0 0 0 0 1 3 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 2 0 1 0 1 1 0 0 0 1 0 0 1 0 0
"60" 20 "5/17/10" 2 3 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 2 0 0 0 0 0
"61" 21 "5/24/10" 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 0 0 4 0 1 0 0 0 0 0 0 0
"62" 22 "5/31/10" 2 3 2 0 1 0 0 1 0 2 0 0 0 1 0 0 3 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"63" 23 "6/7/10" 1 2 1 3 0 2 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"64" 24 "6/14/10" 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"65" 25 "6/21/10" 1 0 1 0 0 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" 26 "6/28/10" 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0
